Country,Rule_Set,Top_URL,Number_Requests,Number_Hits
DE,trackers,.t-online.de,217,25
DE,trackers,.gutefrage.net,83,9
DE,trackers,.bahn.de,110,4
DE,trackers,.xhamster.com,94,1
DE,trackers,.bild.de,387,18
DE,trackers,.blogspot.de,16,0
DE,trackers,.paypal.com,38,5
DE,trackers,.web.de,262,9
DE,trackers,.wikipedia.org,21,0
DE,trackers,.google.com,5,0
DE,trackers,.gmx.net,235,3
DE,trackers,.live.com,26,1
DE,trackers,.ask.com,14,4
DE,trackers,.google.de,15,0
DE,trackers,.yahoo.com,61,4
DE,trackers,.amazon.de,174,2
DE,trackers,.chip.de,243,23
DE,trackers,.focus.de,258,17
DE,trackers,.immobilienscout24.de,134,6
DE,trackers,.mobile.de,73,9
DE,trackers,.facebook.com,32,0
DE,trackers,.youtube.com,63,2
DE,trackers,.spiegel.de,162,4
DE,trackers,.ebay.de,187,3
DE,ads,.t-online.de,217,33
DE,ads,.gutefrage.net,83,14
DE,ads,.bahn.de,110,0
DE,ads,.xhamster.com,94,1
DE,ads,.bild.de,387,5
DE,ads,.blogspot.de,16,0
DE,ads,.paypal.com,38,3
DE,ads,.web.de,262,20
DE,ads,.wikipedia.org,21,0
DE,ads,.google.com,5,0
DE,ads,.gmx.net,235,22
DE,ads,.live.com,26,0
DE,ads,.ask.com,14,0
DE,ads,.google.de,15,0
DE,ads,.yahoo.com,61,14
DE,ads,.amazon.de,174,12
DE,ads,.chip.de,243,40
DE,ads,.focus.de,258,5
DE,ads,.immobilienscout24.de,134,5
DE,ads,.mobile.de,73,5
DE,ads,.facebook.com,32,0
DE,ads,.youtube.com,63,5
DE,ads,.spiegel.de,162,40
DE,ads,.ebay.de,187,13
