Country,Rule_Set,Top_URL,Number_Requests,Number_Hits
JP,trackers,.twitter.com,15,4
JP,trackers,.pixiv.net,73,1
JP,trackers,.ameba.jp,51,4
JP,trackers,.amazon.co.jp,173,2
JP,trackers,.google.co.jp,13,0
JP,trackers,.naver.jp,48,1
JP,trackers,.wikipedia.org,21,0
JP,trackers,.seesaa.net,112,7
JP,trackers,.livedoor.com,75,5
JP,trackers,.nicovideo.jp,86,5
JP,trackers,.kakaku.com,184,7
JP,trackers,.xvideos.com,62,0
JP,trackers,.t.co,2,0
JP,trackers,.dmm.co.jp,35,3
JP,trackers,.fc2.com,77,6
JP,trackers,.ameblo.jp,73,0
JP,trackers,.msn.com,25,4
JP,trackers,.tabelog.com,2,0
JP,trackers,.google.com,4,0
JP,trackers,.yahoo.co.jp,53,1
JP,trackers,.facebook.com,32,0
JP,trackers,.goo.ne.jp,105,10
JP,trackers,.2ch.net,28,0
JP,trackers,.youtube.com,101,12
JP,trackers,.rakuten.co.jp,776,7
JP,ads,.twitter.com,15,0
JP,ads,.pixiv.net,73,0
JP,ads,.ameba.jp,51,3
JP,ads,.amazon.co.jp,173,9
JP,ads,.google.co.jp,13,0
JP,ads,.naver.jp,48,0
JP,ads,.wikipedia.org,21,0
JP,ads,.seesaa.net,112,20
JP,ads,.livedoor.com,75,22
JP,ads,.nicovideo.jp,86,1
JP,ads,.kakaku.com,184,11
JP,ads,.xvideos.com,62,1
JP,ads,.t.co,2,0
JP,ads,.dmm.co.jp,35,1
JP,ads,.fc2.com,77,9
JP,ads,.ameblo.jp,73,2
JP,ads,.msn.com,25,2
JP,ads,.tabelog.com,2,0
JP,ads,.google.com,4,0
JP,ads,.yahoo.co.jp,53,4
JP,ads,.facebook.com,32,0
JP,ads,.goo.ne.jp,105,27
JP,ads,.2ch.net,28,8
JP,ads,.youtube.com,101,9
JP,ads,.rakuten.co.jp,776,4
