Country,Rule_Set,Top_URL,Number_Requests,Number_Hits
JP,trackers,.twitter.com,1,0
JP,trackers,.pixiv.net,4,0
JP,trackers,.ameba.jp,3,0
JP,trackers,.amazon.co.jp,9,0
JP,trackers,.google.co.jp,1,0
JP,trackers,.naver.jp,3,0
JP,trackers,.wikipedia.org,2,0
JP,trackers,.seesaa.net,6,1
JP,trackers,.livedoor.com,4,0
JP,trackers,.nicovideo.jp,5,0
JP,trackers,.kakaku.com,10,1
JP,trackers,.xvideos.com,4,0
JP,trackers,.t.co,1,0
JP,trackers,.dmm.co.jp,2,0
JP,trackers,.fc2.com,4,0
JP,trackers,.ameblo.jp,4,0
JP,trackers,.msn.com,2,0
JP,trackers,.tabelog.com,1,0
JP,trackers,.google.com,1,0
JP,trackers,.yahoo.co.jp,3,0
JP,trackers,.facebook.com,2,0
JP,trackers,.goo.ne.jp,6,1
JP,trackers,.2ch.net,2,0
JP,trackers,.youtube.com,6,1
JP,trackers,.rakuten.co.jp,39,1
JP,ads,.twitter.com,1,0
JP,ads,.pixiv.net,4,0
JP,ads,.ameba.jp,3,0
JP,ads,.amazon.co.jp,9,0
JP,ads,.google.co.jp,1,0
JP,ads,.naver.jp,3,0
JP,ads,.wikipedia.org,2,0
JP,ads,.seesaa.net,6,0
JP,ads,.livedoor.com,4,0
JP,ads,.nicovideo.jp,5,0
JP,ads,.kakaku.com,10,0
JP,ads,.xvideos.com,4,0
JP,ads,.t.co,1,0
JP,ads,.dmm.co.jp,2,0
JP,ads,.fc2.com,4,1
JP,ads,.ameblo.jp,4,0
JP,ads,.msn.com,2,1
JP,ads,.tabelog.com,1,0
JP,ads,.google.com,1,0
JP,ads,.yahoo.co.jp,3,0
JP,ads,.facebook.com,2,0
JP,ads,.goo.ne.jp,6,3
JP,ads,.2ch.net,2,0
JP,ads,.youtube.com,6,0
JP,ads,.rakuten.co.jp,39,0
