Country,Rule_Set,Top_URL,Number_Requests,Number_Hits
JP,ads,.pinterest.com,22,0
JP,ads,.monotaro.com,188,2
JP,ads,.wikiwiki.jp,56,5
JP,ads,.mapion.co.jp,114,4
JP,ads,.mizuhobank.co.jp,2,0
JP,ads,.mynavi.jp,145,1
JP,ads,.yahoo-mbga.jp,18,1
JP,ads,.wordpress.com,24,0
JP,ads,.yodobashi.com,301,5
JP,ads,.with2.net,5,0
JP,ads,.cityheaven.net,19,1
JP,ads,.buyma.com,159,6
JP,ads,.jiji.com,233,29
JP,ads,.nhk.or.jp,2,0
JP,ads,.ero-video.net,99,3
JP,ads,.nikkei.com,2,0
JP,ads,.daily.co.jp,103,21
JP,ads,.plala.or.jp,216,4
JP,ads,.allabout.co.jp,87,1
JP,ads,.goodgamestudios.com,26,0
JP,ads,.teacup.com,23,0
JP,ads,.zakzak.co.jp,221,36
JP,ads,.tokyo-sports.co.jp,4,0
JP,ads,.ocnk.net,114,2
JP,ads,.hao123.com,74,1
JP,ads,.2ch.sc,9,0
JP,ads,.tuneuppro.com,18,0
JP,ads,.ascii.jp,176,7
JP,ads,.pandora.tv,119,23
JP,ads,.ocn.ne.jp,2,0
JP,ads,.lohaco.jp,243,20
JP,ads,.weblio.jp,147,18
JP,ads,.ask.com,43,7
JP,ads,.asg.to,175,8
JP,ads,.prcm.jp,102,11
JP,ads,.excite.co.jp,125,22
JP,ads,.zozo.jp,86,0
JP,ads,.dmm.co.jp,35,1
JP,ads,.instagram.com,28,0
JP,ads,.cookpad.com,140,4
JP,ads,.rakuten.co.jp,783,3
JP,ads,.seesaa.net,93,17
JP,ads,.e-hentai.org,28,1
JP,ads,.microsoft.com,60,2
JP,ads,.redtube.com,103,6
JP,ads,.rikunabi.com,2,0
JP,ads,.blogspot.jp,14,0
JP,ads,.tbs.co.jp,2,0
JP,ads,.nikkeibp.co.jp,75,4
JP,ads,.jal.co.jp,284,2
JP,ads,.wow.com,19,0
JP,ads,.weathernews.jp,93,0
JP,ads,.t.co,2,0
JP,ads,.ifilez.org,5,0
JP,ads,.goo.ne.jp,113,31
JP,ads,.dropbox.com,116,13
JP,ads,.jugem.jp,149,19
JP,ads,.panasonic.jp,170,0
JP,ads,.asahi.com,2,0
JP,ads,.shop-pro.jp,126,5
JP,ads,.2ch.net,23,9
JP,ads,.okwave.jp,62,3
JP,ads,.evernote.com,75,10
JP,ads,.youradexchange.com,11,0
JP,ads,.biglobe.ne.jp,79,8
JP,ads,.blogmura.com,96,2
JP,ads,.ashleyrnadison.com,20,0
JP,ads,.nttdocomo.co.jp,2,0
JP,ads,.ponparemall.com,322,8
JP,ads,.tube8.com,113,32
JP,ads,.google.co.jp,13,0
JP,ads,.toyokeizai.net,169,16
JP,ads,.itmedia.co.jp,2,0
JP,ads,.twimg.com,1,0
JP,ads,.japanpost.jp,59,0
JP,ads,.livedoor.biz,2,0
JP,ads,.xvideo-jp.com,111,2
JP,ads,.livedoor.com,45,6
JP,ads,.carsensor.net,256,50
JP,ads,.mainichi.jp,216,47
JP,ads,.dmm.com,113,2
JP,ads,.diamond.jp,113,2
JP,ads,.recordchina.co.jp,363,95
JP,ads,.alc.co.jp,97,5
JP,ads,.nomura.co.jp,2,0
JP,ads,.bellemaison.jp,258,15
JP,ads,.goo-net.com,223,3
JP,ads,.akamaihd.net,2,0
JP,ads,.groupon.jp,43,4
JP,ads,.mufg.jp,2,0
JP,ads,.rakuten-card.co.jp,2,0
JP,ads,.tenki.jp,108,6
JP,ads,.ldblog.jp,2,0
JP,ads,.kakaku.com,183,11
JP,ads,.adsrvmedia.net,18,3
JP,ads,.shinobi.jp,165,18
JP,ads,.nikkan-gendai.com,2,0
JP,ads,.hochi.co.jp,2,0
JP,ads,.shitaraba.com,2,0
JP,ads,.twipple.jp,36,0
JP,ads,.apple.com,32,0
JP,ads,.taobao.com,142,0
JP,ads,.nikkansports.com,88,6
JP,ads,.outbrain.com,147,18
JP,ads,.nyaa.se,22,3
JP,ads,.sponichi.co.jp,2,0
JP,ads,.atwiki.jp,51,0
JP,ads,.lenovo.com,241,24
JP,ads,.infoseek.co.jp,77,1
JP,ads,.amazon.com,220,10
JP,ads,.nicovideo.jp,84,1
JP,ads,.blogimg.jp,2,0
JP,ads,.so-net.ne.jp,89,8
JP,ads,.hulu.jp,100,2
JP,ads,.feedly.com,28,0
JP,ads,.hatenablog.com,32,0
JP,ads,.huffingtonpost.jp,153,4
JP,ads,.ana.co.jp,188,6
JP,ads,.nissen.co.jp,306,13
JP,ads,.blogos.com,153,8
JP,ads,.tokyo-porn-tube.com,10,0
