Country,Rule_Set,Top_URL,Number_Requests,Number_Hits
JP,trackers,.pinterest.com,22,2
JP,trackers,.monotaro.com,188,14
JP,trackers,.wikiwiki.jp,56,3
JP,trackers,.mapion.co.jp,114,6
JP,trackers,.mizuhobank.co.jp,2,0
JP,trackers,.mynavi.jp,145,1
JP,trackers,.yahoo-mbga.jp,18,2
JP,trackers,.wordpress.com,24,4
JP,trackers,.yodobashi.com,301,3
JP,trackers,.with2.net,5,0
JP,trackers,.cityheaven.net,19,2
JP,trackers,.buyma.com,159,3
JP,trackers,.jiji.com,233,10
JP,trackers,.nhk.or.jp,2,0
JP,trackers,.ero-video.net,99,1
JP,trackers,.nikkei.com,2,0
JP,trackers,.daily.co.jp,103,0
JP,trackers,.plala.or.jp,216,4
JP,trackers,.allabout.co.jp,87,6
JP,trackers,.goodgamestudios.com,26,3
JP,trackers,.teacup.com,23,1
JP,trackers,.zakzak.co.jp,221,7
JP,trackers,.tokyo-sports.co.jp,4,0
JP,trackers,.ocnk.net,114,3
JP,trackers,.hao123.com,74,7
JP,trackers,.2ch.sc,9,1
JP,trackers,.tuneuppro.com,18,1
JP,trackers,.ascii.jp,176,5
JP,trackers,.pandora.tv,119,4
JP,trackers,.ocn.ne.jp,2,0
JP,trackers,.lohaco.jp,243,5
JP,trackers,.weblio.jp,147,7
JP,trackers,.ask.com,43,4
JP,trackers,.asg.to,175,1
JP,trackers,.prcm.jp,102,2
JP,trackers,.excite.co.jp,125,8
JP,trackers,.zozo.jp,86,3
JP,trackers,.dmm.co.jp,35,3
JP,trackers,.instagram.com,28,1
JP,trackers,.cookpad.com,140,4
JP,trackers,.rakuten.co.jp,783,6
JP,trackers,.seesaa.net,93,2
JP,trackers,.e-hentai.org,28,1
JP,trackers,.microsoft.com,60,13
JP,trackers,.redtube.com,103,5
JP,trackers,.rikunabi.com,2,0
JP,trackers,.blogspot.jp,14,0
JP,trackers,.tbs.co.jp,2,0
JP,trackers,.nikkeibp.co.jp,75,0
JP,trackers,.jal.co.jp,284,5
JP,trackers,.wow.com,19,3
JP,trackers,.weathernews.jp,93,0
JP,trackers,.t.co,2,0
JP,trackers,.ifilez.org,5,0
JP,trackers,.goo.ne.jp,113,10
JP,trackers,.dropbox.com,116,6
JP,trackers,.jugem.jp,149,8
JP,trackers,.panasonic.jp,170,6
JP,trackers,.asahi.com,2,0
JP,trackers,.shop-pro.jp,126,6
JP,trackers,.2ch.net,23,0
JP,trackers,.okwave.jp,62,4
JP,trackers,.evernote.com,75,5
JP,trackers,.youradexchange.com,11,0
JP,trackers,.biglobe.ne.jp,79,7
JP,trackers,.blogmura.com,96,5
JP,trackers,.ashleyrnadison.com,20,3
JP,trackers,.nttdocomo.co.jp,2,0
JP,trackers,.ponparemall.com,322,3
JP,trackers,.tube8.com,113,3
JP,trackers,.google.co.jp,13,0
JP,trackers,.toyokeizai.net,169,10
JP,trackers,.itmedia.co.jp,2,0
JP,trackers,.twimg.com,1,0
JP,trackers,.japanpost.jp,59,1
JP,trackers,.livedoor.biz,2,0
JP,trackers,.xvideo-jp.com,111,1
JP,trackers,.livedoor.com,45,1
JP,trackers,.carsensor.net,256,17
JP,trackers,.mainichi.jp,216,13
JP,trackers,.dmm.com,113,3
JP,trackers,.diamond.jp,113,3
JP,trackers,.recordchina.co.jp,363,7
JP,trackers,.alc.co.jp,97,2
JP,trackers,.nomura.co.jp,2,0
JP,trackers,.bellemaison.jp,258,2
JP,trackers,.goo-net.com,223,2
JP,trackers,.akamaihd.net,2,0
JP,trackers,.groupon.jp,43,2
JP,trackers,.mufg.jp,2,0
JP,trackers,.rakuten-card.co.jp,2,0
JP,trackers,.tenki.jp,108,5
JP,trackers,.ldblog.jp,2,0
JP,trackers,.kakaku.com,183,7
JP,trackers,.adsrvmedia.net,18,1
JP,trackers,.shinobi.jp,165,4
JP,trackers,.nikkan-gendai.com,2,0
JP,trackers,.hochi.co.jp,2,0
JP,trackers,.shitaraba.com,2,0
JP,trackers,.twipple.jp,36,4
JP,trackers,.apple.com,32,2
JP,trackers,.taobao.com,142,1
JP,trackers,.nikkansports.com,88,5
JP,trackers,.outbrain.com,147,25
JP,trackers,.nyaa.se,22,0
JP,trackers,.sponichi.co.jp,2,0
JP,trackers,.atwiki.jp,51,4
JP,trackers,.lenovo.com,241,25
JP,trackers,.infoseek.co.jp,77,5
JP,trackers,.amazon.com,220,1
JP,trackers,.nicovideo.jp,84,5
JP,trackers,.blogimg.jp,2,0
JP,trackers,.so-net.ne.jp,89,2
JP,trackers,.hulu.jp,100,16
JP,trackers,.feedly.com,28,1
JP,trackers,.hatenablog.com,32,4
JP,trackers,.huffingtonpost.jp,153,12
JP,trackers,.ana.co.jp,188,3
JP,trackers,.nissen.co.jp,306,14
JP,trackers,.blogos.com,153,11
JP,trackers,.tokyo-porn-tube.com,10,2
JP,trackers,.baidu.com,13,0
JP,trackers,..tokyo.jp,2,0
JP,trackers,.sakura.ne.jp,198,3
JP,trackers,.appbank.net,109,3
JP,trackers,.mhlw.go.jp,2,0
JP,trackers,.jra.go.jp,2,0
JP,trackers,.kuronekoyamato.co.jp,2,0
JP,trackers,.iza.ne.jp,2,0
JP,trackers,.media-fire.org,29,2
JP,trackers,.xsrv.jp,2,0
JP,trackers,.chatwork.com,30,2
JP,trackers,.alibaba.com,112,14
JP,trackers,.smbc.co.jp,2,0
JP,trackers,.benesse.ne.jp,2,0
JP,trackers,.carview.co.jp,1,0
JP,trackers,.cocolog-nifty.com,2,0
JP,trackers,.adobe.com,86,11
JP,trackers,.athome.co.jp,208,3
JP,trackers,.wav.tv,118,5
JP,trackers,.mh4g.org,2,0
JP,trackers,.bing.com,19,1
JP,trackers,.jtb.co.jp,599,11
JP,trackers,.paypal.com,34,5
JP,trackers,.wikipedia.org,21,0
JP,trackers,.main.jp,68,1
JP,trackers,.suumo.jp,131,6
JP,trackers,.adcash.com,45,4
JP,trackers,.pornhub.com,131,3
JP,trackers,.ashleymadison.com,22,1
JP,trackers,.ecnavi.jp,150,2
