domain, cookie_count, 3rd party cookie_count
, 0, 0
yahoo, 28, 11
google, 19, 0
amazon, 147, 8
youtube, 87, 11
google, 7, 0
fc2, 246, 235
facebook, 4, 0
rakuten, 2007, 34
ameblo, 8, 4
wikipedia, 2, 0
twitter, 11, 1
naver, 30, 29
nicovideo, 28, 19
goo, 170, 64
livedoor, 132, 66
dmm, 35, 6
ameba, 69, 21
kakaku, 106, 80
pixiv, 125, 21
2ch, 23, 23
msn, 53, 4
domain, request_count, 3rd party request_count
, 0, 0
yahoo, 53, 33
google, 13, 2
amazon, 174, 5
youtube, 102, 64
google, 4, 0
fc2, 78, 37
facebook, 32, 29
rakuten, 776, 11
ameblo, 73, 61
wikipedia, 21, 3
twitter, 15, 7
naver, 48, 14
nicovideo, 86, 77
goo, 105, 22
livedoor, 77, 43
dmm, 35, 11
ameba, 56, 14
xvideos, 62, 6
kakaku, 184, 29
pixiv, 73, 16
t, 2, 0
tabelog, 3, 0
2ch, 28, 19
msn, 26, 0
